Motion Through Fluids Experiment Tue, Nov 14, 2023 2:08 PM
Time(sec)	Position(mm)
0.005	18.668
0.055	19.305
0.105	19.941
0.155	20.576
0.205	20.999
0.255	21.634
0.305	22.268
0.355	22.902
0.405	23.536
0.455	24.169
0.505	24.801
0.555	25.223
0.605	25.855
0.655	26.486
0.705	27.118
0.755	27.748
0.805	28.379
0.855	29.009
0.905	29.638
0.955	30.267
1.005	30.896
1.055	31.524
1.105	31.943
1.155	32.571
1.205	33.407
1.255	33.825
1.305	34.452
1.355	35.078
1.405	35.704
1.455	36.330
1.505	36.955
1.555	37.580
1.605	38.204
1.655	38.826
1.705	39.450
1.755	40.073
1.805	40.696
1.855	41.319
1.905	41.941
1.955	42.563
2.005	43.185
2.055	43.806
2.105	44.427
2.155	45.048
2.205	45.668
2.255	46.288
2.305	46.701
2.355	47.321
2.405	47.940
2.455	48.559
2.505	49.177
2.555	49.796
2.605	50.207
2.655	50.825
2.705	51.442
2.755	51.854
2.805	52.676
2.855	53.087
2.905	53.498
2.955	54.114
3.005	54.525
3.055	55.140
3.105	55.550
3.155	56.165
3.206	56.575
3.255	57.190
3.305	57.597
3.355	58.211
3.405	58.623
3.455	59.234
3.505	59.645
3.555	60.258
3.605	60.665
3.655	61.073
3.705	61.688
3.755	62.094
3.805	62.502
3.855	63.114
3.906	63.522
3.955	63.929
4.005	64.337
4.055	64.744
4.105	65.355
4.155	65.762
4.205	66.169
4.255	66.576
4.305	66.983
4.355	67.390
4.405	67.796
4.455	68.406
4.505	68.812
4.555	69.218
4.605	69.624
4.655	70.030
4.705	70.436
4.755	70.842
4.805	71.247
4.855	71.653
4.905	72.058
4.955	72.463
5.005	72.869
5.055	73.274
5.105	73.679
5.155	74.083
5.205	74.488
5.255	74.893
5.305	75.095
5.355	75.500
5.405	75.904
5.455	76.308
5.505	76.712
5.555	77.117
5.605	77.520
5.655	77.924
5.705	78.328
5.756	78.732
5.805	79.135
5.855	79.539
5.905	79.741
5.955	80.144
6.005	80.547
6.055	80.950
6.105	81.353
6.155	81.555
6.205	81.958
6.255	82.361
6.305	82.763
6.355	83.166
6.405	83.568
6.455	83.971
6.505	84.172
6.555	84.574
6.605	84.977
6.655	85.379
6.705	85.781
6.755	86.183
6.805	86.585
6.855	86.986
6.905	87.388
6.955	87.589
7.005	87.990
7.055	88.392
7.105	88.793
7.155	89.195
7.205	89.596
7.255	89.997
7.305	90.398
7.355	90.799
7.405	91.200
7.455	91.400
7.505	91.801
7.555	92.202
7.605	92.602
7.655	93.003
7.705	93.403
7.755	93.803
7.805	94.204
7.855	94.604
7.905	95.002
7.955	95.404
8.005	95.804
8.055	96.002
8.105	96.402
8.155	96.802
8.205	97.202
8.255	97.603
8.305	98.002
8.355	98.400
8.405	98.800
8.455	99.201
8.505	99.600
8.555	99.997
8.605	100.197
8.655	100.596
8.705	100.995
8.755	101.394
8.805	101.793
8.855	102.192
8.905	102.590
8.955	102.991
9.005	103.387
9.055	103.786
9.105	104.184
9.155	104.384
9.205	104.782
9.255	105.180
9.305	105.578
9.355	105.977
9.405	106.375
9.455	106.574
9.505	106.972
9.555	107.370
9.605	107.768
9.655	108.165
9.705	108.563
9.755	108.961
9.805	109.358
9.855	109.758
9.905	110.155
9.955	110.352
10.005	110.750
10.055	111.147
10.105	111.544
10.155	111.941
10.205	112.339
10.255	112.736
10.305	113.133
10.355	113.530
10.405	113.927
10.455	114.125
10.505	114.522
10.555	114.919
10.605	115.315
10.655	115.712
10.705	116.109
10.755	116.505
10.805	116.902
10.855	117.298
10.905	117.695
10.955	117.893
11.005	118.289
11.055	118.686
11.105	119.082
11.155	119.478
11.205	119.874
11.255	120.270
11.305	120.666
11.355	121.062
11.405	121.458
11.455	121.854
11.505	122.051
11.555	122.447
11.605	122.844
11.655	123.238
11.705	123.635
11.755	124.031
11.805	124.427
11.855	124.822
11.905	125.216
11.955	125.613
12.005	126.009
12.055	126.403
12.105	126.600
12.155	126.996
12.205	127.391
12.255	127.786
12.305	128.181
12.355	128.576
12.405	128.972
12.455	129.367
12.505	129.762
12.555	130.157
12.605	130.552
12.655	130.749
12.705	131.144
12.755	131.539
12.805	131.934
12.855	132.329
12.905	132.724
12.955	133.118
13.005	133.316
13.055	133.710
13.105	134.105
13.155	134.500
13.205	134.894
13.255	135.289
13.305	135.683
13.355	136.078
13.405	136.472
13.455	136.867
13.505	137.261
13.555	137.458
13.605	137.853
13.655	138.247
13.705	138.641
13.755	139.036
13.805	139.430
13.855	139.824
13.905	140.218
13.955	140.612
14.005	140.809
14.055	141.204
14.105	141.598
14.155	141.992
14.205	142.386
14.255	142.780
14.305	143.174
14.355	143.568
14.405	143.962
14.455	144.356
14.505	144.750
14.555	145.143
14.605	145.340
14.655	145.734
14.705	146.128
14.755	146.520
14.805	146.916
14.855	147.309
14.905	147.703
14.955	148.097
15.005	148.489
15.055	148.884
15.105	149.278
15.155	149.672
15.205	150.065
15.255	150.261
15.305	150.654
15.355	151.049
15.405	151.443
15.455	151.836
15.505	152.228
15.555	152.623
15.605	153.016
15.655	153.409
15.705	153.803
15.755	154.196
15.805	154.589
15.855	154.983
15.905	155.180
15.955	155.573
16.005	155.967
16.055	156.360
16.105	156.557
16.155	156.950
16.205	157.343
16.255	157.737
16.305	158.130
16.355	158.524
16.405	158.917
16.455	159.310
16.505	159.704
16.555	160.097
16.605	160.490
16.655	160.687
16.705	161.080
16.755	161.474
16.805	161.867
16.855	162.260
16.905	162.653
16.955	163.047
17.005	163.440
17.055	163.833
17.105	164.030
17.155	164.423
17.205	164.817
17.255	165.210
17.305	165.603
17.355	165.996
17.405	166.390
17.455	166.783
17.505	167.176
17.555	167.569
17.605	167.963
17.655	168.356
17.705	168.553
17.755	168.946
17.805	169.339
17.855	169.731
17.905	170.126
17.955	170.519
18.005	170.912
18.055	171.306
18.105	171.699
18.155	172.092
18.205	172.486
18.255	172.878
18.305	173.074
18.355	173.468
18.405	173.862
18.455	174.256
18.505	174.649
18.555	175.041
18.605	175.436
18.655	175.828
18.705	176.221
18.755	176.615
18.805	177.008
18.855	177.402
18.905	177.795
18.955	177.992
19.005	178.385
19.055	178.779
19.105	179.172
19.155	179.566
19.205	179.763
19.255	180.156
19.305	180.550
19.355	180.943
19.405	181.337
19.455	181.730
19.505	182.124
19.555	182.517
19.605	182.911
19.655	183.108
19.705	183.502
19.755	183.895
19.805	184.289
19.855	184.683
19.905	185.076
19.955	185.470
20.005	185.864
20.055	186.258
20.105	186.455
20.155	186.848
20.205	187.242
20.255	187.636
20.305	188.030
20.355	188.424
20.405	188.818
20.455	189.212
20.505	189.606
20.555	190.000
20.605	190.197
20.655	190.591
20.705	190.985
20.755	191.378
20.805	191.773
20.855	192.167
20.905	192.561
20.955	192.955
21.005	193.350
21.055	193.744
21.105	194.138
21.155	194.531
21.205	194.729
21.255	195.123
21.305	195.518
21.355	195.913
21.405	196.307
21.455	196.702
21.505	197.095
21.555	197.490
21.605	197.884
21.655	198.279
21.705	198.673
21.755	198.871
21.805	199.265
21.855	199.660
21.905	200.055
21.955	200.450
22.005	200.844
22.055	201.239
22.105	201.634
22.155	202.029
22.205	202.425
22.255	202.622
22.305	203.017
22.355	203.412
22.405	203.807
22.455	204.202
22.505	204.597
22.555	204.795
22.605	205.190
22.655	205.585
22.705	205.980
22.755	206.178
22.805	206.573
22.855	206.969
22.905	207.364
22.955	207.760
23.005	208.155
23.055	208.551
23.105	208.947
23.155	209.342
23.205	209.738
23.255	209.936
23.305	210.332
23.355	210.727
23.405	211.123
23.455	211.519
23.505	211.915
23.555	212.311
23.605	212.707
23.655	213.103
23.705	213.499
23.755	213.697
23.805	214.094
23.855	214.490
23.905	214.886
23.955	215.283
24.005	215.679
24.055	216.075
24.105	216.471
24.155	216.868
24.205	217.066
24.255	217.464
24.305	217.860
24.355	218.257
24.405	218.653
24.455	219.050
24.505	219.447
24.555	219.844
24.605	220.043
24.655	220.440
24.705	220.837
24.755	221.234
24.805	221.631
24.855	222.029
24.905	222.426
24.955	222.824
25.005	223.022
25.055	223.420
25.105	223.817
25.155	224.215
25.205	224.613
25.255	225.010
25.305	225.209
25.355	225.607
25.405	226.005
25.455	226.403
25.505	226.801
25.555	227.199
25.605	227.398
25.655	227.797
25.705	228.195
25.755	228.593
25.805	228.792
25.855	229.191
25.905	229.589
25.955	229.988
26.005	230.386
26.055	230.785
26.105	230.984
26.155	231.383
26.205	231.782
26.255	232.181
26.305	232.580
26.355	232.979
26.405	233.178
26.455	233.578
26.505	233.977
26.555	234.377
26.605	234.776
26.655	235.175
26.705	235.375
26.755	235.775
26.805	236.174
26.855	236.574
26.905	236.973
26.955	237.173
27.005	237.574
27.055	237.973
27.105	238.373
27.155	238.774
27.205	238.974
27.255	239.374
27.305	239.774
27.355	240.175
27.405	240.576
27.455	240.775
27.505	241.176
27.555	241.577
27.605	241.978
27.655	242.178
27.705	242.579
27.755	242.980
27.805	243.180
27.855	243.582
27.905	243.983
27.955	244.384
28.005	244.585
28.055	244.986
28.105	245.388
28.155	245.588
28.205	245.990
28.255	246.392
28.305	246.794
28.355	246.994
28.405	247.396
28.455	247.798
28.505	247.999
28.555	248.402
28.605	248.603
28.655	249.005
28.705	249.407
28.755	249.609
28.805	250.011
28.855	250.414
28.905	250.615
28.955	251.018
29.005	251.421
29.055	251.622
29.105	251.824
29.155	252.227
29.205	252.630
29.255	252.831
29.305	253.234
29.355	253.638
29.405	253.840
29.455	254.243
29.505	254.445
29.555	254.848
29.605	255.252
29.655	255.454
29.705	255.858
29.755	256.060
29.805	256.464
29.855	256.868
29.905	257.070
29.955	257.474
30.005	257.676
30.055	258.081
30.105	258.283
30.155	258.688
30.205	259.092
30.255	259.295
30.305	259.700
30.355	259.902
30.405	260.307
30.455	260.509
30.505	260.915
30.555	261.117
30.605	261.523
30.655	261.725
30.705	262.131
30.755	262.536
30.805	262.739
30.855	263.145
30.905	263.348
30.955	263.753
31.005	263.957
31.055	264.362
31.105	264.566
31.155	264.972
31.205	265.175
31.255	265.581
31.305	265.785
31.355	266.191
31.405	266.394
31.455	266.801
31.505	267.004
31.555	267.411
31.605	267.615
31.655	268.022
31.705	268.226
31.755	268.633
31.805	268.836
31.855	269.244
31.905	269.448
31.955	269.855
32.005	270.059
32.055	270.467
32.105	270.671
32.155	271.079
32.205	271.283
32.255	271.691
32.305	271.895
32.355	272.099
32.405	272.507
32.455	272.711
32.505	272.916
32.555	273.324
32.605	273.529
32.655	273.937
32.705	274.142
32.755	274.551
32.805	274.755
32.855	274.960
32.905	275.369
32.955	275.574
33.005	275.983
33.055	276.188
33.105	276.597
33.155	276.802
33.205	277.212
33.255	277.417
33.305	277.622
33.355	278.032
33.405	278.237
33.455	278.647
33.505	278.852
33.555	279.057
33.605	279.468
33.655	279.673
33.705	280.084
33.755	280.289
33.805	280.495
33.855	280.906
33.905	281.111
33.955	281.522
34.005	281.728
34.055	282.139
34.105	282.345
34.155	282.551
34.205	282.962
34.255	283.168
34.305	283.374
34.355	283.786
34.405	283.992
34.455	284.404
34.505	284.610
34.555	284.816
34.605	285.228
34.655	285.434
34.705	285.847
34.755	286.053
34.805	286.260
34.855	286.673
34.905	286.879
34.955	287.086
35.005	287.499
35.055	287.705
35.105	287.912
35.155	288.119
35.205	288.119
35.255	288.325
35.305	288.739
35.355	289.359
35.405	289.566
35.455	290.187
35.505	290.602
35.555	290.602
35.605	290.809
35.655	291.016
35.705	291.223
35.756	0.000
35.805	0.000
35.855	0.000
35.905	0.000
35.955	0.000
36.005	0.000
36.055	0.000
36.105	0.000
36.155	0.000
36.205	0.000
36.255	0.000
36.305	0.000
36.355	0.000
36.405	0.000
36.455	0.000
36.505	0.000
36.555	0.000
36.605	0.000
36.655	0.000
36.705	0.000
36.755	0.000
36.805	0.000
36.855	0.000
36.905	0.000
36.955	0.000
37.005	0.000
37.055	0.000
37.105	0.000
37.155	0.000
37.205	0.000
37.255	0.000
