Motion Through Fluids Experiment Tue, Nov 14, 2023 1:53 PM
Time(sec)	Position(mm)
0.042	43.183
0.092	46.490
0.142	49.995
0.192	53.286
0.242	56.571
0.292	59.639
0.342	62.702
0.392	65.758
0.442	67.792
0.492	70.635
0.542	73.472
0.592	76.306
0.642	78.930
0.692	81.551
0.742	84.168
0.792	86.782
0.842	89.191
0.892	91.795
0.942	94.198
0.992	96.798
1.042	99.195
1.092	101.590
1.142	103.983
1.192	106.570
1.242	108.957
1.292	111.342
1.342	113.725
1.392	116.304
1.442	118.681
1.492	121.058
1.542	123.434
1.592	125.808
1.642	128.180
1.692	130.549
1.742	133.115
1.792	135.483
1.842	137.850
1.892	140.215
1.942	142.580
1.992	144.944
2.042	147.307
2.092	149.669
2.142	152.030
2.192	154.588
2.242	156.949
2.292	159.309
2.342	161.669
2.392	164.029
2.442	166.387
2.492	168.748
2.542	171.108
2.592	173.468
2.642	175.827
2.692	178.188
2.742	180.549
2.792	182.910
2.842	185.272
2.892	187.635
2.942	189.999
2.992	192.363
3.042	194.729
3.092	197.095
3.142	199.463
3.192	201.832
3.242	204.202
3.292	206.573
3.342	208.947
3.392	211.321
3.442	213.698
3.492	216.076
3.542	218.257
3.592	220.639
3.642	223.023
3.692	225.408
3.742	227.000
3.792	229.191
3.842	231.583
3.892	233.977
3.942	236.175
3.992	238.574
4.042	240.776
4.092	243.181
4.142	245.388
4.192	247.598
4.242	249.810
4.292	252.025
4.342	254.243
4.392	256.262
4.442	258.486
4.492	260.510
4.542	262.740
4.592	264.769
4.642	266.802
4.692	268.837
4.742	270.875
4.792	272.916
4.842	274.756
4.892	276.803
4.942	278.648
4.992	280.700
5.042	282.551
5.092	284.404
5.142	286.054
5.192	288.119
5.242	289.981
