Motion Through Fluids Experiment Thu, Nov 2, 2023 3:30 PM
Time(sec)	Position(mm)
0.027	58.242
0.077	63.740
0.127	69.216
0.177	74.672
0.227	80.314
0.327	92.148
0.377	98.342
0.428	104.519
0.477	110.881
0.527	117.431
0.577	121.788
0.627	128.118
0.727	141.339
0.777	147.842
0.877	161.033
0.927	167.527
0.977	174.022
1.027	180.519
1.077	187.018
1.127	193.522
1.177	200.034
1.227	206.554
1.277	213.085
1.327	219.629
1.377	226.189
1.427	232.566
1.477	239.162
1.527	245.778
1.577	252.217
1.627	258.882
1.677	265.372
1.727	272.096
1.827	285.231
